2016-08-19 00:50:12 status unpacked libacl1:amd64 2.2.52-3
2016-08-19 00:50:12 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2016-08-19 00:50:12 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2016-08-19 00:50:12 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2016-08-19 00:50:12 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2016-08-19 00:50:12 install libattr1:amd64 <none> 1:2.4.47-2
2016-08-19 00:50:12 status half-installed libattr1:amd64 1:2.4.47-2
2016-08-19 00:50:12 status unpacked libattr1:amd64 1:2.4.47-2
2016-08-19 00:50:12 status unpacked libattr1:amd64 1:2.4.47-2
2016-08-19 00:50:12 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2016-08-19 00:50:12 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2016-08-19 00:50:12 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:12 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:12 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:12 install libbz2-1.0:amd64 <none> 1.0.6-8
2016-08-19 00:50:12 status half-installed libbz2-1.0:amd64 1.0.6-8
2016-08-19 00:50:12 status unpacked libbz2-1.0:amd64 1.0.6-8
2016-08-19 00:50:12 status unpacked libbz2-1.0:amd64 1.0.6-8
2016-08-19 00:50:12 install libc-bin:amd64 <none> 2.23-0ubuntu3
2016-08-19 00:50:12 status half-installed libc-bin:amd64 2.23-0ubuntu3
2016-08-19 00:50:12 status unpacked libc-bin:amd64 2.23-0ubuntu3
2016-08-19 00:50:12 status unpacked libc-bin:amd64 2.23-0ubuntu3
2016-08-19 00:50:12 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2016-08-19 00:50:12 status half-configured libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:12 status unpacked libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:12 status half-installed libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:13 status half-installed libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:13 status unpacked libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:13 status unpacked libc6:amd64 2.23-0ubuntu3
2016-08-19 00:50:13 install libcap2:amd64 <none> 1:2.24-12
2016-08-19 00:50:13 status half-installed libcap2:amd64 1:2.24-12
2016-08-19 00:50:13 status unpacked libcap2:amd64 1:2.24-12
2016-08-19 00:50:13 status unpacked libcap2:amd64 1:2.24-12
2016-08-19 00:50:13 install libcap2-bin:amd64 <none> 1:2.24-12
2016-08-19 00:50:13 status half-installed libcap2-bin:amd64 1:2.24-12
2016-08-19 00:50:13 status unpacked libcap2-bin:amd64 1:2.24-12
2016-08-19 00:50:13 status unpacked libcap2-bin:amd64 1:2.24-12
2016-08-19 00:50:13 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2016-08-19 00:50:13 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:13 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:13 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:13 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2016-08-19 00:50:13 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-08-19 00:50:13 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-08-19 00:50:13 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2016-08-19 00:50:13 install libdb5.3:amd64 <none> 5.3.28-11
